seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,location_altitude,location_longitude,location_latitude,gyroscope_z,gyroscope_y,gyroscope_x
201,-0.009704453,0.04166729,-0.015114591,71.46822103,-9.060868967,53.28258887,-0.02190806,-0.032683938,7.60E-04
202,0.005779724,-0.060869055,-0.150540587,71.17098999,-9.0609319,53.2825833,0.038151497,0.027942871,0.002394948
203,0.072912163,-0.024635919,-0.039662894,71.12432861,-9.0609821,53.2825793,-0.021312673,0.00295258,-0.003777251
204,0.010719337,0.018394909,-0.031702993,71.22709147,-9.061051233,53.2825744,-5.66E-04,-0.03381578,0.005193928
205,0.045157022,-0.058268821,-0.127058005,70.90155029,-9.06113105,53.2825694,0.028585958,0.044297461,-9.35E-04
206,-0.020732815,-0.010488901,0.013742043,70.82739258,-9.06119205,53.2825663,-0.003497647,-0.021898144,0.002450874
207,0.05091216,0.038643799,-0.058490103,70.96871948,-9.06124475,53.2825642,-0.001125403,-0.014553073,0.006435039
208,0.005304307,-0.025015125,-0.079552462,71.31821696,-9.061319833,53.28255947,-0.015868017,0.017356816,-0.004902107
209,0.184802642,-0.034879628,-0.182217988,71.32775879,-9.06139725,53.28255285,0.020939261,0.015398235,-0.003687602
210,-0.29712783,-0.122706647,0.066235282,71.09611003,-9.061457267,53.28254697,-0.039919004,-0.002417139,-0.011661203
211,0.2078746,0.109633646,0.137894215,70.72207642,-9.0615397,53.28254015,-0.017151659,-0.073062752,0.009952988
212,0.011582113,-0.091788655,-0.304935263,70.41322835,-9.061609233,53.28253703,0.091375856,0.072532221,-0.003874812
213,-0.05372566,0.120960727,-0.157473971,70.37231445,-9.061675,53.28253535,-0.024968032,0.015149058,0.013644132
214,0.173562815,0.018325173,-0.069966884,70.51523844,-9.0617483,53.2825311,-0.005800434,-0.026779871,0.012671048
215,-0.061197752,0.011214924,-0.095346745,70.26953125,-9.06182175,53.2825261,-0.004320562,-6.97E-04,-0.001517232
